,radical,variants,pinyin,learnt
0,一,,yi1,False
1,丨,,gun3,False
2,丿,"乀 (fu2), 乁(yi2)",pie3,False
3,乙,"乚 (yin3), 乛",yi4,False
4,亅,,jue2,False
5,丶,,zhu3,False
6,二,,er4,False
7,亠,,tou2,False
8,人,亻,ren2,False
9,儿,,er2,False
10,入,,ru4,False
11,八,丷,ba1,False
12,冂,,jiong3,False
13,冖,,mi4,False
14,冫,,bing1,False
15,几,,ji1,False
16,凵,,qu3,False
17,刀,刂,dao1,False
18,力,,li4,False
19,勹,,bao1,False
20,匕,,bi3,False
21,匚,,fang1,False
22,匸,,xi3,False
23,十,,shi2,False
24,卜,,bu3,False
25,卩,,jie2,False
26,厂,,han4,False
27,厶,,si1,False
28,又,,you4,False
29,囗,,wei2,False
30,土,,tu3,False
31,士,,shi4,False
32,夂,,zhi3 (top),False
33,夊,,sui1 (bot­tom),False
34,夕,,xi1,False
35,大,,da4,False
36,女,,nü3,False
37,子,,zi3,False
38,宀,,mian2,False
39,寸,,cun4,False
40,小,,xiao3,False
41,尢,尣,wang1,False
42,尸,,shi1,False
43,屮,,che4,False
44,山,,shan1,False
45,川,"巛, 巜 (gui4)",chuan1,False
46,工,,gong1,False
47,己,,ji3,False
48,巾,,jin1,False
49,干,,gan1,False
50,幺,,yao1,False
51,口,,kou3,False
52,广,,guan3,False
53,廴,,yin3,False
54,廾,,gong3,False
55,弋,,yi4,False
56,弓,,gong1,False
57,彐,彑,ji4,False
58,彡,,shan1,False
59,彳,,chi4,False
60,心,忄,xin1,False
61,戈,,ge1,False
62,戶,,hu4,False
63,手,扌,shou3,False
64,支,,zhi1,False
65,攴,攵,pu1,False
66,文,,wen2,False
67,斗,,dou3,False
68,斤,,jin1,False
69,方,,fang1,False
70,无,,wu2,False
71,日,,ri4,False
72,曰,,yue1,False
73,月,,yue4,False
74,木,,mu4,False
75,欠,,qian4,False
76,止,,zhi3,False
77,殳,,shu1,False
78,毋,,wu2,False
79,比,,bi3,False
80,毛,,mao2,False
81,氏,,shi4,False
82,气,,qi4,False
83,水,氵,shui3,False
84,火,灬,huo3,False
85,爪,爫,zhao3,False
86,父,,fu4,False
87,爻,,yao2,False
88,爿,丬,"pan2, qiang2",False
89,片,,pian4,False
90,牙,,ya2,False
91,牛,牜,niu2,False
92,犬,犭,quan3,False
93,歹,,dai3,False
94,玄,,xuan2,False
95,玉,王,yu4,False
96,瓜,,gua1,False
97,瓦,,wa3,False
98,甘,,gan1,False
99,生,,sheng1,False
100,用,,yong4,False
101,田,,tian2,False
102,疋,,pi3,False
103,疒,,chuang2,False
104,癶,,bo4,False
105,白,,bai2,False
106,皮,,pi2,False
107,皿,,min3,False
108,目,,mu4,False
109,矛,,mao2,False
110,矢,,shi3,False
111,石,,shi2,False
112,示,礻,shi4,False
113,禸,,rou3,False
114,禾,,he2,False
115,穴,,xue4,False
116,立,,li4,False
117,至,,zhi4,False
118,竹,⺮,zhu2,False
119,缶,,fou3,False
120,网,罒,wang3,False
121,羊,,yang2,False
122,羽,,yu3,False
123,老,,lao3,False
124,而,,er2,False
125,耒,,lei3,False
126,耳,,er3,False
127,聿,,yu4,False
128,肉,,rou4,False
129,臣,,chen2,False
130,自,,zi4,False
131,糸,,mi4,False
132,臼,,jiu4,False
133,舌,,she2,False
134,舛,,chuan3,False
135,舟,,zhou1,False
136,艮,,gen4,False
137,色,,se4,False
138,艸,艹,cao3,False
139,虍,,hu1,False
140,虫,,chong2,False
141,血,,xue3,False
142,行,,xing2,False
143,衣,衤,yi1,False
144,襾,覀,ya4,False
145,米,,mi3,False
146,見,,jian4,False
147,角,,jue2,False
148,言,,yan2,False
149,谷,,gu3,False
150,豆,,dou4,False
151,豕,,shi3,False
152,豸,,zhi4,False
153,貝,,bei4,False
154,赤,,chi4,False
155,走,,zou3,False
156,足,,zu2,False
157,身,,shen1,False
158,車,,che1,False
159,辛,,xin1,False
160,辰,,chen2,False
161,辵,辶,chuo4,False
162,邑,阝 (right),yi4,False
163,酉,,you3,False
164,釆,,bian4,False
165,里,,li3,False
166,金,,jin1,False
167,長,,chang2,False
168,阜,阝 (left),fu4,False
169,隶,,dai4,False
170,隹,,zhui1,False
171,雨,,yu3,False
172,青,,qing1,False
173,非,,fei1,False
174,門,,men2,False
175,風,,feng1,False
176,革,,ge2,False
177,韭,,jiu3,False
178,音,,yin1,False
179,頁,,ye4,False
180,面,,mian4,False
181,飛,,fei1,False
182,食,飠,shi2,False
183,首,,shou3,False
184,香,,xiang1,False
185,韋,,wei2,False
186,馬,,ma3,False
187,骨,,gu3,False
188,高,,gao1,False
189,髟,,biao1,False
190,鬥,,dou4,False
191,鬯,,chang4,False
192,鬲,,li4,False
193,鬼,,gui3,False
194,魚,,yu2,False
195,鹵,,lu3,False
196,鹿,,lu4,False
197,麥,,mai4,False
198,麻,,ma2,False
199,鳥,,niao3,False
200,黃,,huang2,False
201,黍,,shu3,False
202,黑,,hei1,False
203,黹,,zhi3,False
204,黽,,min3,False
205,鼎,,ding3,False
206,鼓,,gu3,False
207,鼠,,shu3,False
208,鼻,,bi2,False
209,齊,,qi2,False
210,齒,,chi3,False
211,龍,,long2,False
212,龜,,gui1,False
213,龠,,yue4,False
